Source,Target,cash,material,help
23,77,0,1,0
23,78,0,1,0
48,51,0,1,0
48,57,0,1,0
48,78,0,1,0
48,27,0,1,0
48,25,0,1,0
34,78,0,1,0
34,55,0,1,0
34,18,0,1,0
34,53,0,1,0
34,45,0,1,0
34,15,0,1,0
55,34,0,1,0
55,74,0,1,0
55,45,0,1,0
40,1,0,1,0
22,53,0,1,0
22,1,0,1,0
56,14,0,1,0
56,18,0,1,0
21,40,0,1,0
21,11,0,1,0
21,60,0,1,0
21,43,0,1,0
11,21,0,1,0
11,43,0,1,0
11,43,0,1,0
31,51,0,1,0
14,56,0,1,0
14,39,0,1,0
18,34,0,1,0
18,53,0,1,0
18,53,0,1,0
61,41,0,1,0
61,4,0,1,0
60,21,0,1,0
60,41,0,1,0
53,34,0,1,0
53,22,0,1,0
53,18,0,1,0
53,18,0,1,0
53,58,0,1,0
53,41,0,1,0
53,30,0,1,0
68,9,0,1,0
68,54,0,1,0
58,53,0,1,0
58,30,0,1,0
8,68,0,1,0
8,9,0,1,0
8,76,0,1,0
8,75,0,1,0
9,68,0,1,0
9,68,0,1,0
9,54,0,1,0
9,54,0,1,0
9,54,0,1,0
41,34,0,1,0
41,61,0,1,0
41,53,0,1,0
41,53,0,1,0
41,62,0,1,0
41,16,0,1,0
76,8,0,1,0
76,76,0,1,0
76,19,0,1,0
74,23,0,1,0
74,55,0,1,0
74,15,0,1,0
45,34,0,1,0
45,55,0,1,0
45,72,0,1,0
45,15,0,1,0
19,27,0,1,0
19,65,0,1,0
19,65,0,1,0
19,69,0,1,0
27,48,0,1,0
27,19,0,1,0
27,15,0,1,0
65,51,0,1,0
65,19,0,1,0
65,19,0,1,0
72,77,0,1,0
72,45,0,1,0
72,79,0,1,0
72,70,0,1,0
63,67,0,1,0
63,33,0,1,0
79,24,0,1,0
79,72,0,1,0
79,54,0,1,0
1,40,0,1,0
1,37,0,1,0
1,37,0,1,0
1,73,0,1,0
37,40,0,1,0
37,41,0,1,0
37,1,0,1,0
37,1,0,1,0
70,72,0,1,0
36,51,0,1,0
36,77,0,1,0
36,77,0,1,0
36,77,0,1,0
36,14,0,1,0
36,79,0,1,0
15,24,0,1,0
15,38,0,1,0
15,5,0,1,0
15,23,0,1,0
15,34,0,1,0
15,55,0,1,0
15,55,0,1,0
15,55,0,1,0
15,27,0,1,0
15,65,0,1,0
15,69,0,1,0
25,48,0,1,0
25,48,0,1,0
43,11,0,1,0
43,11,0,1,0
43,62,0,1,0
43,39,0,1,0
62,41,0,1,0
62,16,0,1,0
35,44,0,1,0
35,49,0,1,0
35,28,0,1,0
30,61,0,1,0
30,53,0,1,0
30,58,0,1,0
30,66,0,1,0
30,66,0,1,0
30,13,0,1,0
30,13,0,1,0
30,71,0,1,0
66,30,0,1,0
66,30,0,1,0
13,30,0,1,0
13,30,0,1,0
13,71,0,1,0
13,71,0,1,0
13,47,0,1,0
13,28,0,1,0
29,16,0,1,0
39,77,0,1,0
39,14,0,1,0
39,72,0,1,0
39,43,0,1,0
71,13,0,1,0
71,10,0,1,0
71,4,0,1,0
71,32,0,1,0
71,73,0,1,0
44,35,0,1,0
44,47,0,1,0
75,8,0,1,0
75,71,0,1,0
75,16,0,1,0
75,32,0,1,0
75,47,0,1,0
75,28,0,1,0
3,6,0,1,0
3,12,0,1,0
3,50,0,1,0
16,51,0,1,0
16,41,0,1,0
16,62,0,1,0
16,29,0,1,0
17,39,0,1,0
17,6,0,1,0
17,6,0,1,0
17,12,0,1,0
17,12,0,1,0
17,50,0,1,0
17,50,0,1,0
6,3,0,1,0
6,17,0,1,0
6,17,0,1,0
6,12,0,1,0
6,50,0,1,0
49,35,0,1,0
49,75,0,1,0
49,47,0,1,0
49,28,0,1,0
49,28,0,1,0
12,3,0,1,0
12,10,0,1,0
12,46,0,1,0
10,71,0,1,0
10,6,0,1,0
10,12,0,1,0
10,12,0,1,0
10,4,0,1,0
10,46,0,1,0
4,61,0,1,0
4,10,0,1,0
32,71,0,1,0
32,46,0,1,0
32,28,0,1,0
46,22,0,1,0
46,22,0,1,0
54,68,0,1,0
54,68,0,1,0
54,9,0,1,0
54,9,0,1,0
54,9,0,1,0
54,79,0,1,0
2,26,0,1,0
2,26,0,1,0
26,78,0,1,0
26,2,0,1,0
26,2,0,1,0
26,2,0,1,0
47,13,0,1,0
47,44,0,1,0
50,3,0,1,0
50,17,0,1,0
50,17,0,1,0
50,6,0,1,0
50,6,0,1,0
50,12,0,1,0
50,12,0,1,0
73,1,0,1,0
73,71,0,1,0
28,35,0,1,0
28,75,0,1,0
28,49,0,1,0
28,49,0,1,0
28,32,0,1,0
51,51,0,0,1
51,51,0,0,1
51,51,0,0,1
5,51,0,0,1
36,51,0,0,1
51,67,0,0,1
51,67,0,0,1
67,67,0,0,1
67,67,0,0,1
67,67,0,0,1
67,67,0,0,1
5,67,0,0,1
17,67,0,0,1
25,57,0,0,1
74,7,0,0,1
24,24,0,0,1
24,24,0,0,1
24,24,0,0,1
24,24,0,0,1
77,77,0,0,1
39,77,0,0,1
15,42,0,0,1
24,20,0,0,1
38,20,0,0,1
38,20,0,0,1
49,20,0,0,1
24,38,0,0,1
20,38,0,0,1
60,38,0,0,1
60,38,0,0,1
15,38,0,0,1
67,33,0,0,1
31,33,0,0,1
66,33,0,0,1
5,5,0,0,1
5,5,0,0,1
5,5,0,0,1
55,5,0,0,1
69,5,0,0,1
51,52,0,0,1
52,52,0,0,1
52,52,0,0,1
59,52,0,0,1
19,52,0,0,1
59,59,0,0,1
59,59,0,0,1
59,59,0,0,1
78,78,0,0,1
26,78,0,0,1
23,23,0,0,1
34,23,0,0,1
18,23,0,0,1
53,23,0,0,1
57,48,0,0,1
34,34,0,0,1
55,34,0,0,1
15,34,0,0,1
7,55,0,0,1
20,55,0,0,1
55,55,0,0,1
15,55,0,0,1
31,40,0,0,1
1,40,0,0,1
37,40,0,0,1
22,22,0,0,1
22,22,0,0,1
53,22,0,0,1
1,22,0,0,1
17,22,0,0,1
54,22,0,0,1
54,22,0,0,1
60,56,0,0,1
60,56,0,0,1
75,56,0,0,1
16,56,0,0,1
17,56,0,0,1
21,21,0,0,1
8,21,0,0,1
8,21,0,0,1
21,11,0,0,1
43,11,0,0,1
31,31,0,0,1
31,31,0,0,1
31,31,0,0,1
14,31,0,0,1
14,14,0,0,1
18,18,0,0,1
53,18,0,0,1
53,18,0,0,1
61,61,0,0,1
61,61,0,0,1
61,61,0,0,1
60,60,0,0,1
60,60,0,0,1
60,60,0,0,1
34,53,0,0,1
18,53,0,0,1
30,53,0,0,1
53,58,0,0,1
58,58,0,0,1
41,58,0,0,1
30,58,0,0,1
8,8,0,0,1
9,9,0,0,1
9,9,0,0,1
54,9,0,0,1
58,41,0,0,1
58,41,0,0,1
8,76,0,0,1
75,76,0,0,1
33,74,0,0,1
48,74,0,0,1
55,74,0,0,1
74,74,0,0,1
74,74,0,0,1
34,45,0,0,1
45,45,0,0,1
15,45,0,0,1
15,45,0,0,1
19,19,0,0,1
19,19,0,0,1
19,19,0,0,1
51,27,0,0,1
19,27,0,0,1
65,65,0,0,1
52,69,0,0,1
19,69,0,0,1
72,72,0,0,1
72,72,0,0,1
33,63,0,0,1
5,64,0,0,1
24,79,0,0,1
14,79,0,0,1
72,79,0,0,1
1,1,0,0,1
37,1,0,0,1
37,37,0,0,1
37,37,0,0,1
51,70,0,0,1
72,70,0,0,1
70,70,0,0,1
70,70,0,0,1
51,36,0,0,1
51,36,0,0,1
51,36,0,0,1
59,15,0,0,1
74,15,0,0,1
74,15,0,0,1
15,15,0,0,1
15,15,0,0,1
15,15,0,0,1
48,25,0,0,1
43,43,0,0,1
36,62,0,0,1
32,62,0,0,1
66,30,0,0,1
13,30,0,0,1
24,66,0,0,1
5,66,0,0,1
60,66,0,0,1
34,13,0,0,1
30,13,0,0,1
47,13,0,0,1
29,29,0,0,1
29,29,0,0,1
14,39,0,0,1
30,71,0,0,1
13,71,0,0,1
71,71,0,0,1
71,71,0,0,1
47,44,0,0,1
16,75,0,0,1
16,75,0,0,1
32,75,0,0,1
47,75,0,0,1
28,75,0,0,1
6,3,0,0,1
12,3,0,0,1
12,3,0,0,1
50,3,0,0,1
75,16,0,0,1
16,16,0,0,1
39,17,0,0,1
39,17,0,0,1
6,17,0,0,1
6,17,0,0,1
50,17,0,0,1
7,6,0,0,1
17,6,0,0,1
17,6,0,0,1
12,6,0,0,1
50,6,0,0,1
35,49,0,0,1
28,49,0,0,1
61,10,0,0,1
10,10,0,0,1
4,10,0,0,1
10,4,0,0,1
10,4,0,0,1
10,4,0,0,1
10,4,0,0,1
10,4,0,0,1
5,46,0,0,1
22,46,0,0,1
12,46,0,0,1
10,46,0,0,1
4,46,0,0,1
60,54,0,0,1
68,54,0,0,1
9,54,0,0,1
9,54,0,0,1
2,2,0,0,1
26,2,0,0,1
2,26,0,0,1
2,26,0,0,1
26,26,0,0,1
26,26,0,0,1
26,26,0,0,1
35,47,0,0,1
7,50,0,0,1
17,50,0,0,1
49,50,0,0,1
12,50,0,0,1
76,73,0,0,1
1,73,0,0,1
71,73,0,0,1
75,73,0,0,1
35,28,0,0,1
32,28,0,0,1
26,28,0,0,1
