Source,Target,relatedness
BDSU033,BDSU073,2
BDSU033,BDSU073,3
BDSU033,BDSU077,1
BDSU034,BDSU017,1
BDSU034,BDSU027,1
BDSU034,BDSU029,2
BDSU034,BDSU031,2
BDSU034,BDSU033,1
BDSU034,BDSU034,3
BDSU034,BDSU034,3
BDSU034,BDSU034,3
BDSU034,BDSU034,3
BDSU034,BDSU046,1
BDSU034,BDSU047,1
BDSU034,BDSU053,2
BDSU034,BDSU064,2
BDSU035,BDSU032,1
BDSU035,BDSU033,1
BDSU035,BDSU035,3
BDSU035,BDSU035,2
BDSU035,BDSU035,3
BDSU035,BDSU062,1
BDSU036,BDSU010,1
BDSU036,BDSU016,1
BDSU036,BDSU036,3
BDSU036,BDSU036,3
BDSU037,BDSU005,1
BDSU037,BDSU017,1
BDSU037,BDSU018,1
BDSU037,BDSU037,3
BDSU037,BDSU050,3
BDSU037,BDSU050,3
BDSU037,BDSU037,3
BDSU037,BDSU037,3
BDSU038,BDSU001,1
BDSU038,BDSU033,1
BDSU038,BDSU035,1
BDSU038,BDSU038,3
BDSU038,BDSU038,3
BDSU038,BDSU038,3
BDSU038,BDSU039,2
BDSU038,BDSU040,1
BDSU038,BDSU050,1
BDSU039,BDSU001,2
BDSU039,BDSU016,2
BDSU039,BDSU038,2
BDSU039,BDSU039,3
BDSU039,BDSU039,3
BDSU039,BDSU050,1
BDSU040,BDSU001,1
BDSU040,BDSU005,1
BDSU040,BDSU038,2
BDSU040,BDSU040,3
BDSU040,BDSU050,1
BDSU040,BDSU050,1
BDSU041,BDSU001,1
BDSU041,BDSU012,2
BDSU041,BDSU038,2
BDSU041,BDSU041,3
BDSU041,BDSU050,1
BDSU042,BDSU037,1
BDSU042,BDSU042,3
BDSU042,BDSU042,3
BDSU042,BDSU042,3
BDSU042,BDSU045,1
BDSU043,BDSU002,2
BDSU043,BDSU010,2
BDSU043,BDSU010,2
BDSU043,BDSU043,3
BDSU043,BDSU050,1
BDSU044,BDSU011,3
BDSU044,BDSU044,3
BDSU045,BDSU005,1
BDSU045,BDSU006,1
BDSU045,BDSU011,1
BDSU045,BDSU045,3
BDSU045,BDSU050,1
BDSU045,BDSU073,3
BDSU046,BDSU008,1
BDSU046,BDSU046,3
BDSU046,BDSU047,2
BDSU046,BDSU050,1
BDSU046,BDSU073,3
BDSU047,BDSU018,3
BDSU047,BDSU046,2
BDSU047,BDSU047,2
BDSU047,BDSU047,3
BDSU047,BDSU047,3
BDSU048,BDSU001,1
BDSU048,BDSU006,1
BDSU048,BDSU006,1
BDSU048,BDSU041,2
BDSU048,BDSU042,1
BDSU048,BDSU048,1
BDSU048,BDSU048,3
BDSU048,BDSU048,3
BDSU049,BDSU001,3
BDSU049,BDSU001,3
BDSU049,BDSU006,1
BDSU049,BDSU006,1
BDSU049,BDSU041,1
BDSU049,BDSU045,3
BDSU049,BDSU049,3
BDSU049,BDSU050,1
BDSU049,BDSU050,1
BDSU049,BDSU059,2
BDSU050,BDSU005,1
BDSU050,BDSU006,1
BDSU050,BDSU006,1
BDSU050,BDSU013,1
BDSU050,BDSU018,1
BDSU050,BDSU036,2
BDSU050,BDSU036,2
BDSU050,BDSU050,3
BDSU050,BDSU050,1
BDSU050,BDSU050,3
BDSU050,BDSU050,3
BDSU050,BDSU050,3
